degree,values
11,"[0.17338106278859494, 0.1751811873356069, 0.17065795703064982, 0.1771228446576943, 0.1699471199816013, 0.17198199194608998, 0.18530471681157126, 0.18274813334238713, 0.1745352495212933, 0.17222138484485844, 0.1839092782508304, 0.17150763488472098, 0.17843321337899914, 0.18157335430491006, 0.17356088666643424, 0.17035815925187775, 0.1751313734058494, 0.1842539331047951, 0.17946431644523717, 0.17680952635361222, 0.17576649482466078, 0.17140861511647312, 0.1757144921568978, 0.17896147558140016, 0.18239180706861133, 0.17322691564313883, 0.17056876539670537, 0.16767228527113262, 0.17358889908321637, 0.18093851896701155, 0.17593720349771827, 0.1813429909751633, 0.18068903082641566, 0.18906778428542015, 0.184408652887631, 0.17452899536815997, 0.16932874705111445, 0.16999326352534597, 0.16678897968817413, 0.16377725502577317, 0.17803625374408164, 0.17755071886273216, 0.17095536085984853, 0.1717237192634172, 0.17690839417932724, 0.17015983422246236, 0.17691320916254577, 0.16620872284709165, 0.1845172498350706, 0.18650616285663818, 0.1790461435655617, 0.1773365522815702, 0.17257385949987275, 0.18012939684600823, 0.1830069750181012, 0.1842411501937677, 0.17811052906317373, 0.18333870048764533, 0.1703285353795105, 0.17277630761627144, 0.1683936995739459, 0.17156672340275994, 0.1796257579486506, 0.17912952735475499, 0.16989561759079397, 0.18287994236332308, 0.17879678162956478, 0.18238933235013585, 0.1710675288519137, 0.17682955705966164, 0.17518412902962172, 0.17051004741838097, 0.17580553405673693, 0.1807281825013833, 0.17614442806686273, 0.17378105760366225, 0.15955223987548708, 0.17346978384336065, 0.17502754933486417, 0.16839469807452037, 0.1694482706133473, 0.17124004000759127, 0.17787524882144548, 0.17792641972659629, 0.17337843962647226, 0.17077244151162266, 0.17543918957977664, 0.17599542712761554, 0.18589638997798982, 0.17645417990255433, 0.17312343648159595, 0.1807108729815549, 0.16951243596510962, 0.18072506004982108, 0.17530564025380044, 0.17164412943495064, 0.1810881555278836, 0.17878876571163366, 0.1720020989922097, 0.1708684813283862]"
12,"[0.183235421675826, 0.1737875979944094, 0.17656421393293617, 0.16965480524088228, 0.17425436380773038, 0.1706317791804659, 0.162214524137297, 0.17570295980485393, 0.1617661308074514, 0.17425345752423713, 0.1596424880628458, 0.1611262732683427, 0.16481044314594287, 0.17376309977847107, 0.17043696684001947, 0.1708415695010076, 0.17887125004871018, 0.1759645194803742, 0.1686121527868453, 0.1703368165573467, 0.1688529386943713, 0.17248027958092899, 0.17057497040054445, 0.17502430403396418, 0.16388677129347354, 0.17553453464917887, 0.17677949161777107, 0.16478607441071916, 0.16557948813753648, 0.17293311109166187, 0.17741913050558034, 0.17932335987649017, 0.18070432938349174, 0.17139896206001784, 0.1680068045711195, 0.16767870639971041, 0.16943016626507226, 0.16837395950865336, 0.16400779860564518, 0.1597711545489341, 0.18183774725025043, 0.16994966944289783, 0.15998033540436124, 0.17626113760850462, 0.17206249915098834, 0.17267226937976965, 0.16869034218831322, 0.16860716245759344, 0.15917580128229394, 0.16968165977330565, 0.1811231834280663, 0.15023941521606035, 0.17679023833304489, 0.16899965868533376, 0.1721684013098277, 0.16345576286076385, 0.15838825191140313, 0.17258177860850749, 0.1740278112667556, 0.1628591708591241, 0.17229876411276487, 0.17673234553324796, 0.17228182629680103, 0.17792330924178623, 0.18317596568015482, 0.18195205527136163, 0.17174265406033754, 0.1702093235822734, 0.16533473603943327, 0.17870590334292089, 0.17188457305946586, 0.17340731428677375, 0.167336469114906, 0.17168443339449144, 0.1724461159408577, 0.1698643425633686, 0.17042548163126914, 0.16369450880003597, 0.17303549499596355, 0.17862927746180002, 0.1720207444391579, 0.17228917026932747, 0.16967495411161487, 0.1633898973880052, 0.17104152932592112, 0.1656361474507508, 0.17388332521873345, 0.16281265566848896, 0.17059422288054107, 0.16167932909943597, 0.17449656699473004, 0.17006188948245105, 0.16392329716212706, 0.1732212006755792, 0.17349746796778234, 0.17400108832354866, 0.16375463176600197, 0.17456972983582858, 0.17060433414430165, 0.15812719535786735]"
13,"[0.16556440270031467, 0.16113714288702063, 0.15756228340913972, 0.16387806671006422, 0.16680860876373324, 0.1607089379026368, 0.17253444737773438, 0.154955336551484, 0.16802764467696052, 0.16041846537579912, 0.16067452229605597, 0.16444687014929185, 0.15862475266125775, 0.16222685097901746, 0.16138189753712032, 0.1611921148238613, 0.15324068414166755, 0.1657768737126862, 0.16340199801073785, 0.16623384569218214, 0.16600946603685282, 0.15753336631192624, 0.15984992886250804, 0.15891850378146566, 0.17912826723476774, 0.16095011584837873, 0.1556506541571653, 0.16358660004814038, 0.16832165348645356, 0.15959850711076115, 0.17117305641650252, 0.1573851380885742, 0.1569268981630286, 0.1689422509168665, 0.15760035282762264, 0.16036716824448383, 0.16655234445594094, 0.15761642428505676, 0.17145778872127798, 0.15626929702174092, 0.1595323916996946, 0.162011859131957, 0.1657533915196705, 0.16821210778050663, 0.1699867418163623, 0.16559765894241138, 0.1674413462684196, 0.16109889493732896, 0.17674787546968024, 0.1619229263831776, 0.1538110225574835, 0.16029282452024673, 0.16539631249596273, 0.17367775320197948, 0.16200380384095392, 0.16048697094436343, 0.1633718716048521, 0.16178733297860567, 0.1608919388690773, 0.16174401512479594, 0.17313277529733176, 0.16309492338548565, 0.1562808528813254, 0.1637270219794884, 0.15903579073366228, 0.15813286421893613, 0.17671956828528212, 0.1611216925443105, 0.15400912426758118, 0.15400601287988622, 0.16515266297838785, 0.16768498459520878, 0.16966922473909482, 0.1668334841267913, 0.16117681231738096, 0.1676133734409588, 0.1526860460484611, 0.16298359896135373, 0.16447470397788205, 0.16345749265702675, 0.16553233699331488, 0.15303692119049334, 0.15871426014798812, 0.1613790107611777, 0.17016768058319964, 0.16621126486817578, 0.16726623970815274, 0.16845273920541046, 0.16623389316893777, 0.15723951775868905, 0.16362153749011699, 0.16454442707622494, 0.1601501714183867, 0.16084785982844435, 0.16735749769729055, 0.16166717792958568, 0.17257589839369442, 0.16212790461398052, 0.16705556424406498, 0.15819513273566851]"
14,"[0.157126271608445, 0.1643253199959363, 0.15961125649210658, 0.15495756121071266, 0.15810898673601181, 0.1627660307354948, 0.15683833157824129, 0.1644368704246928, 0.16389347605423765, 0.1587923225669915, 0.1476015075364447, 0.16486586824150082, 0.1591014761832355, 0.15879923914867752, 0.1558570468583604, 0.1603591336466142, 0.16437011114796488, 0.1572788331118481, 0.15402330082382193, 0.15810542744113878, 0.16334429125767752, 0.16381474663115023, 0.15364293754093522, 0.15971267810203507, 0.15760942144184553, 0.16015677645586338, 0.1623807040002694, 0.15092450721421682, 0.16433213165525493, 0.1616901499759566, 0.15588407447158845, 0.15229312609897747, 0.1648730948146159, 0.16273532837041227, 0.1612510791295351, 0.16232182153854696, 0.16699796757444033, 0.15392716249474342, 0.15892660723571428, 0.15022871528200152, 0.1544717908344173, 0.15155977490877806, 0.16112186944770873, 0.15932806514296827, 0.1598359372229079, 0.15285516810740926, 0.15830181509675115, 0.15387199444851818, 0.16296240134136133, 0.15456841215763126, 0.15480741546439739, 0.16508520121088968, 0.16251682573831344, 0.15274335617340157, 0.16397176964838253, 0.1714121128527745, 0.1568653277398653, 0.154555106017496, 0.1637054671211662, 0.16972334362868627, 0.16919401892419475, 0.16030971800914315, 0.1640836119823638, 0.15852860367448737, 0.1619302639826161, 0.16697826021874645, 0.16307738970084645, 0.16367628039478932, 0.15578255007148345, 0.16052164521210355, 0.1579913124334623, 0.15616075602748178, 0.16478741465622077, 0.15548299201843746, 0.1628277065460307, 0.14275302615330657, 0.1712000906850166, 0.14813919147305002, 0.1614912444267714, 0.16970241580361645, 0.15915834897778125, 0.16386138550058496, 0.1605755435744835, 0.1549474899024996, 0.16137418047348828, 0.15593458210532934, 0.1455623544865767, 0.16583799664875845, 0.16503581108732282, 0.15635035257454688, 0.1575044276625485, 0.169400073902107, 0.14823244178691913, 0.15849910156764124, 0.16037641900619687, 0.16064556885731576, 0.1645575193079332, 0.15305078963262106, 0.16059705521369302, 0.1648343687617705]"
15,"[0.14763738422951725, 0.15317822379962764, 0.15171338997314765, 0.15181923010809806, 0.15045814864342594, 0.16134778982089262, 0.15372721040223172, 0.1510755840813445, 0.16311484400032855, 0.15785811143968106, 0.14978904391103326, 0.1631061098913681, 0.16338344916240863, 0.16398912809254648, 0.15059261750363198, 0.1481661545075016, 0.1579365602898145, 0.15174193490576862, 0.14944334036709267, 0.15341330117060023, 0.15274465756564498, 0.15335272909394326, 0.15619912168517022, 0.1537622905154497, 0.1464796280516283, 0.16596625165307502, 0.150738483228905, 0.14802728818940986, 0.15916162024425232, 0.15618158452801736, 0.16107824248383096, 0.1547440304063691, 0.1622797241785686, 0.14842218522139772, 0.1576927084913141, 0.15849456614883822, 0.14627780824339362, 0.15622608454640607, 0.15960165193831613, 0.15348782557618362, 0.16214450607562628, 0.1532636731682115, 0.15359790359009676, 0.1617302691226606, 0.15145945750499162, 0.1595227513286093, 0.15759283636590912, 0.15736738433867417, 0.16054630434671946, 0.1571601244254685, 0.15719416997072994, 0.15603135512985258, 0.15412931195236498, 0.1614011282283229, 0.1498268881692942, 0.16297966148341164, 0.1549536350111256, 0.158262866145417, 0.14938029072598288, 0.14925104503398262, 0.14690577963952048, 0.15297330721323785, 0.1480621110921476, 0.15911722083292124, 0.15062970681452004, 0.14389768484817067, 0.1535015973113332, 0.15493295543333846, 0.15673456774108846, 0.15643857115608636, 0.1574560566541913, 0.15412219920844322, 0.15931779566910184, 0.1555369344722036, 0.1603244944621381, 0.14448565272477268, 0.1533059809781217, 0.16133184578632492, 0.1555269353684976, 0.16354561954725885, 0.16153201173631115, 0.1561032063218734, 0.15626502282499158, 0.15720999159847765, 0.14808734945916982, 0.15758496561975582, 0.15856852259310572, 0.1523457255072607, 0.1467022791965093, 0.15928074176377552, 0.15461004822827715, 0.1504260587102047, 0.1484885124415439, 0.1625427704698495, 0.15119371097294496, 0.15633469983921341, 0.15329329162101682, 0.14933582057462755, 0.15865853702166358, 0.15824901021453247]"
16,"[0.14492920599877956, 0.15644996376459763, 0.14930767212545562, 0.14073763650481608, 0.15499465609302363, 0.15402127869510734, 0.1467121701404225, 0.15212814491818283, 0.14951797199675299, 0.15207327255636033, 0.1522452434975019, 0.15551087501282465, 0.1528280772087067, 0.1479459008867293, 0.15399490951714578, 0.1564425174502748, 0.15433223182652095, 0.1496626276971079, 0.160505687252739, 0.14486076579047, 0.14949255094311392, 0.15592519938838742, 0.15659980238809978, 0.15657855478727953, 0.15421419626673308, 0.1489229088835874, 0.15237691728599764, 0.14440170818096615, 0.15035177892632987, 0.14887774059541387, 0.15457699687002593, 0.15019370126683204, 0.15605308302026324, 0.15340287948586023, 0.14560762653492873, 0.13182183501044242, 0.15535343729152826, 0.14390342462045863, 0.15314024928088601, 0.13788500326444905, 0.15444320730537325, 0.14746925704438343, 0.15405679324831584, 0.15880267108280025, 0.15172787529066892, 0.15218521358684228, 0.15189267074340965, 0.14947269084897052, 0.15259581712700837, 0.14698921306425683, 0.14766898281019564, 0.14951730269420244, 0.15175825584910455, 0.15120118805247837, 0.14920106988656784, 0.15318881636665685, 0.14311026529105284, 0.15763857999079658, 0.1445578394666942, 0.1550464065693956, 0.1517450679415544, 0.15093643536488152, 0.15269602791767053, 0.1510439868497364, 0.14292317167684915, 0.15347226205011807, 0.14200284469181113, 0.1589566958166463, 0.15296519690754867, 0.15128467545159885, 0.14584448854244514, 0.1423525209182718, 0.15576233354338645, 0.15709211820475374, 0.15596410971858862, 0.15086815684686222, 0.15563877654212205, 0.15739736729897205, 0.14869472107429677, 0.14139381335867102, 0.15896431379719342, 0.1570275948945013, 0.15597725727463244, 0.1585958693480786, 0.1570198035009389, 0.1561065025290781, 0.14757000617134977, 0.15159401189073873, 0.14518405598383777, 0.14774621251927095, 0.14066233760952548, 0.1503829732462336, 0.16343224903110723, 0.14638201694230404, 0.1596465702403071, 0.15547882003403637, 0.14850809337297408, 0.14676115820363947, 0.15304542096646323, 0.15658843104572698]"
17,"[0.15188530541113113, 0.1448396608311915, 0.15081810038036209, 0.15468917781745586, 0.14510355649922752, 0.14862673875568927, 0.14193436740424115, 0.14757869629267956, 0.15094643652310483, 0.13502209812099739, 0.14889120178644735, 0.15398538479171137, 0.1532071523181128, 0.15185438495944453, 0.15013295358488543, 0.14494135788084941, 0.14237800540603843, 0.15270204762450687, 0.14290258496658007, 0.14991498186972885, 0.14762288370777982, 0.1467070812597497, 0.14111906644096084, 0.15563939387761838, 0.15135280883597257, 0.14675489904761294, 0.15453445323506293, 0.14624791416294572, 0.1460460674899065, 0.1460701705643703, 0.14700216546047867, 0.14084703412357558, 0.14506513918486427, 0.14456267186938976, 0.1470355571954358, 0.15119937590901927, 0.14690013650583084, 0.14109776062734514, 0.15087033649539516, 0.14862519807220034, 0.1511265061733982, 0.14800486973276347, 0.14076531667265693, 0.1498363982797652, 0.14984086538319413, 0.14735226253785494, 0.15009198517896843, 0.15715291775957207, 0.1514292952043426, 0.1483015141456419, 0.15191390996652554, 0.14425016419863143, 0.15119343675070174, 0.15364960658180207, 0.15477553617856854, 0.13892142076143862, 0.1464679163296021, 0.14687789506570445, 0.15617660679995318, 0.14847427244187292, 0.15336721960344823, 0.15146593268484235, 0.14292943130729518, 0.14835764358952336, 0.14942197641522245, 0.14798627720476956, 0.1437477205879251, 0.1504704354894087, 0.15645744513109142, 0.153398914304704, 0.1546244635041191, 0.14540009314545949, 0.15132063827061382, 0.14546023776887052, 0.1373111405504913, 0.1536059913235191, 0.14853642742251963, 0.14520752370985182, 0.15273512065165928, 0.14635110437430338, 0.1504331799720099, 0.14231115786593268, 0.14789768707324208, 0.15321615314954987, 0.14089185677122265, 0.15612565840305503, 0.15166681477152644, 0.15133894411255472, 0.1536653934792093, 0.14119828998115028, 0.15363086706428086, 0.1484528933855246, 0.13878980678589606, 0.1474183805522744, 0.14897834669966795, 0.14819316262598703, 0.14578655261510434, 0.15607700474808883, 0.1523184950082916, 0.1417370612511284]"
18,"[0.1494467898654978, 0.1367341317280645, 0.14034669174668532, 0.15034266748658737, 0.1451650393608466, 0.14701638328074418, 0.13947640966885774, 0.14457046788725691, 0.14528720984109939, 0.1470546157732522, 0.1453222388905093, 0.1389910289637835, 0.1335904363838856, 0.14586459098935675, 0.14096656779752417, 0.14366295249219976, 0.135673712636816, 0.13716592345987513, 0.1359227990489041, 0.14493976890226473, 0.15181963772643814, 0.14345065357580636, 0.1496113201051438, 0.1516090422576815, 0.14353994786515406, 0.14582255287773593, 0.1477418517879369, 0.1552017685115436, 0.14015908715093178, 0.14690508325235813, 0.14526233883067258, 0.137912253473225, 0.15009988979890582, 0.1509520111031814, 0.15009926860205297, 0.14518996786129093, 0.14589174479050016, 0.13424637121810665, 0.1468337057789789, 0.15138574267006932, 0.13870046985968654, 0.14597365538438878, 0.13996875863962605, 0.14315647311499471, 0.14695890920651442, 0.15012371234201616, 0.1525181634300976, 0.14533705460577045, 0.1481108818907758, 0.14421205385058983, 0.147598484650261, 0.14328987253084274, 0.14391891457882477, 0.14641225164142263, 0.14775707537248553, 0.1517971295115033, 0.14247689222475665, 0.1457658439683447, 0.14042585779808842, 0.14170661474870297, 0.15234225058089548, 0.15335050649140886, 0.1456430301241759, 0.14429406802277966, 0.15505341805134545, 0.15238426257540674, 0.13180151481328764, 0.14637289579268553, 0.1457696648539137, 0.14827303138874162, 0.13228750058808994, 0.14380077155861062, 0.15064791779991366, 0.14575944784508818, 0.14018051109386595, 0.141575288117657, 0.13751699183066757, 0.14177912267468146, 0.14926214817750993, 0.1517034310343455, 0.14157196230471172, 0.14553784578717002, 0.14779711030696155, 0.1294955151015372, 0.15034932654173014, 0.14523754372443945, 0.14253161474954312, 0.1399903805043377, 0.1430397642204318, 0.1460760870197521, 0.14514955060328122, 0.14924347134874355, 0.14329268811773466, 0.14488055033620698, 0.14330325481770928, 0.14510909252888624, 0.15198613954406223, 0.15547304003076262, 0.14800479403220462, 0.14972828442998487]"
19,"[0.1414933705092919, 0.1497238400163674, 0.1386134167479835, 0.1485084615307671, 0.14552711777757818, 0.1428999322847942, 0.14571036272855462, 0.13842757022807797, 0.1445328611006711, 0.13584824076293253, 0.1458158931662888, 0.141075071136021, 0.1500089640722747, 0.14540975397918987, 0.14046943975786444, 0.1417206357418422, 0.14304286279592804, 0.13705145725053455, 0.1441174438745536, 0.13371478194712444, 0.1389248564167434, 0.13881140208297688, 0.14094432216629338, 0.1395049551276364, 0.14593426982577376, 0.14191883610009903, 0.13778548029139331, 0.13800376263788316, 0.13183457524374476, 0.13998271239838195, 0.1399161599990992, 0.1388541836463731, 0.15082043514941204, 0.14236204551733098, 0.13900876217605337, 0.136646967734081, 0.14060286124544236, 0.1417234609628821, 0.13899965487489432, 0.13337963905729056, 0.15236759833601077, 0.14940548494109657, 0.14897801542669492, 0.13814962828232136, 0.14102012870105018, 0.14814910615847265, 0.13735556346670805, 0.14562914567562488, 0.1392308187781315, 0.1412084850809226, 0.13923503263752626, 0.1415174688987159, 0.14321976936619732, 0.14156518467950677, 0.1397430241069455, 0.14749055237815434, 0.1473243256645825, 0.14305923171303989, 0.13815746406441173, 0.14590757436968516, 0.14603237960535065, 0.14427383052817042, 0.1423340478089471, 0.13740455302545798, 0.1447560474428933, 0.14101841535303616, 0.14967305758612487, 0.1436255759655999, 0.13929275663014984, 0.13428436136943883, 0.14963631810459316, 0.13580208729265744, 0.14416771378728713, 0.14875107169853372, 0.1448108814750341, 0.14349824930570335, 0.1455901179783626, 0.15055604594685618, 0.13897188597285567, 0.1408127076254951, 0.14035951155579424, 0.1461617776876915, 0.1414623061845213, 0.14292824092630427, 0.14780461809664916, 0.14271630272343694, 0.14479111263410493, 0.15069535997079536, 0.1419505699089657, 0.1428914342974165, 0.1435627563697884, 0.13574294361786918, 0.13944186913961104, 0.14821130548015773, 0.14096512706571765, 0.14212341928853134, 0.14494441954039397, 0.1400793904244709, 0.13589856397625527, 0.14777354045259533]"
20,"[0.14775111018988613, 0.13848151617551882, 0.13597618130399938, 0.14051965558117752, 0.14967203918471417, 0.14002787488314453, 0.14687706747019294, 0.13751627520309168, 0.1428993870766491, 0.13852024896153742, 0.1435043279171731, 0.1365167147902331, 0.13107291711207109, 0.13397356842145858, 0.14981593437470847, 0.1368862134914875, 0.1406308029802305, 0.14197618655182653, 0.13348988319525837, 0.12981201897631967, 0.1381311459279713, 0.1434079123098954, 0.13816783180762565, 0.14517048088848813, 0.14756447168336517, 0.14948447626755695, 0.13010355920329172, 0.14931056545514282, 0.14603880832470645, 0.14623441590780514, 0.1422127976639289, 0.13404346440526269, 0.13932466351661446, 0.14144137074493113, 0.13157381437035245, 0.1361178795401573, 0.14357094106098112, 0.1396013675649376, 0.13480645565471283, 0.14137533923980214, 0.1335586693590107, 0.13813932981649832, 0.1350579285016917, 0.13819727534400883, 0.13286585892914476, 0.14061098817563666, 0.14645988708866717, 0.1366547235370324, 0.1419347610194735, 0.14086361652936535, 0.1400146555127825, 0.13971439416133935, 0.14183838241927704, 0.13926829992147358, 0.1430590055541441, 0.13606643246166264, 0.12944982956593665, 0.12922056576351149, 0.13497439093049682, 0.14653305207790773, 0.14655180738824772, 0.14338939894393649, 0.13447940511983303, 0.13983404375783473, 0.14737766606623712, 0.13979063117793408, 0.13799092072028524, 0.13818485833610578, 0.1361391599841644, 0.13679546973350856, 0.13408369250331284, 0.14923171930656923, 0.14402672081170095, 0.13759710796194657, 0.14431549726177673, 0.13740133927685863, 0.13863386336084282, 0.14603558947335094, 0.13719004933296472, 0.13984341270846445, 0.13571578839382725, 0.14277379196066692, 0.14192465260439496, 0.14623861060381071, 0.13900842915589617, 0.14741580631670254, 0.14913753450142947, 0.14718461604035166, 0.1449300242170276, 0.13355309853039116, 0.13451463879754771, 0.14069418602722686, 0.13423999521832244, 0.15388164121280648, 0.14273570772593766, 0.13880789917152916, 0.14794554530572399, 0.1434533250789083, 0.1459914490174271, 0.13709344767835427]"
21,"[0.14826488126092727, 0.13658807685095048, 0.13483428529647468, 0.13019965758393234, 0.13274639437390756, 0.14222593510541257, 0.1307064680444799, 0.14093645404476757, 0.13705094891262032, 0.15104085056572908, 0.14253738408707609, 0.14387086339143945, 0.13941454876966852, 0.13551874903229189, 0.13428509889029555, 0.14131259461775997, 0.13993616112197876, 0.14209922113969556, 0.13681534084538946, 0.1384556321158267, 0.13747641994579693, 0.15057451827141274, 0.1253747071562736, 0.1484141469042145, 0.14167085484726574, 0.14017800267624878, 0.1396358592630101, 0.14048215953070964, 0.13698741968414324, 0.14940338058893302, 0.13279995982224696, 0.1367365718224816, 0.13041391949489828, 0.14327658220471737, 0.14303274093251567, 0.1321962848843166, 0.14092307311649305, 0.13842474933101676, 0.14350920762286085, 0.12689638604184184, 0.14817123851651057, 0.1330175343095773, 0.1405919845521883, 0.13160796753659912, 0.13702714451215656, 0.14211981676760557, 0.13687250529898579, 0.1346062310137025, 0.1395422225253749, 0.14037782831265305, 0.14137378375375895, 0.13413159025237323, 0.13770028801476122, 0.1383571461633631, 0.1333062211735971, 0.13529723663058585, 0.13754870616167403, 0.14137514611465102, 0.1441474567100115, 0.13367651089480093, 0.14244523921757365, 0.14863399164611302, 0.14612556409607555, 0.14247296379086505, 0.13099079401035557, 0.1462343099366361, 0.1398528598694155, 0.14061490106514205, 0.1378336090795693, 0.1394888420549187, 0.1423058710161855, 0.14327402165332412, 0.1335736222053416, 0.1392804329360731, 0.14692144420961498, 0.14140969967531739, 0.1380552772023441, 0.13188580503450548, 0.13917509511787488, 0.14355251402488117, 0.14835159810464474, 0.13399009184155639, 0.12939699858142314, 0.1425953534852955, 0.14662314132203125, 0.13649093129300216, 0.1420340077246347, 0.13437755690806627, 0.14210801599702413, 0.1381076231212003, 0.1435620556804617, 0.14676342943814638, 0.13932031142447043, 0.14488449799123707, 0.14021276823151207, 0.14596584777389626, 0.14243426432410575, 0.13489881823452127, 0.13899760160920882, 0.1372570663821574]"
22,"[0.13915378413773707, 0.13771194580974386, 0.1256037625110467, 0.13306694928857676, 0.13098985145170824, 0.13103094580177527, 0.13492423601010675, 0.136329683340235, 0.14480851214100607, 0.1259382857904874, 0.13482832323622068, 0.1393611138425088, 0.13287766217964586, 0.13755151488038136, 0.1297184882942661, 0.1416044403100305, 0.12646673970197356, 0.13298343617493547, 0.14537703507489308, 0.1308893372183932, 0.1345473427449769, 0.1336692917167983, 0.13179808196011908, 0.14594229833082198, 0.13829632916192613, 0.14068946656991543, 0.14600451491814911, 0.1387861850144909, 0.13159444369415838, 0.14070988378872287, 0.14106205584679968, 0.13425671087183058, 0.13144942533507425, 0.13809932636823263, 0.1424467301762671, 0.13525297917858206, 0.13254692280044356, 0.14694283205761427, 0.14065987241743724, 0.1387122718178598, 0.13645374867371612, 0.1268200835473952, 0.14271922522246258, 0.13064376066166103, 0.1415116494270954, 0.1312407538670639, 0.13868324949031582, 0.13562331350348472, 0.13169895955887076, 0.13634921975503173, 0.13418418817849012, 0.13372899324719784, 0.13716306520175806, 0.13446549577599898, 0.13381710747922923, 0.13168310477458742, 0.1415458434206897, 0.1341737895888561, 0.13474841228575918, 0.13111834108686607, 0.13884567142768114, 0.1406306997399296, 0.12991444966267904, 0.13051980732467225, 0.13764788988128032, 0.13407631838610307, 0.13609512616334465, 0.1393904015336531, 0.1423427479450265, 0.1377703985067551, 0.13336364882160706, 0.13840693231833878, 0.13315076115708588, 0.13817451960620383, 0.14249649925932203, 0.1321031223802764, 0.13984818303720933, 0.14078006902567564, 0.15072527173769276, 0.14100916986889087, 0.14640030921530142, 0.13766923128541053, 0.1366652153577089, 0.14152047980572763, 0.1413767580224592, 0.14070756681242197, 0.1342751433791656, 0.14630703397803535, 0.1341052790699163, 0.1351050618133825, 0.13025359860026553, 0.13810623310617415, 0.13729551236081852, 0.13978025521438509, 0.133372232444639, 0.12672990137139528, 0.13558001953568133, 0.14709248789066076, 0.1427979880654816, 0.14268944580705809]"
23,"[0.13375221206677465, 0.13848770703912566, 0.13256376672536574, 0.13280776225618218, 0.1337898577944656, 0.13690951480928726, 0.13760515388262512, 0.13176026181398115, 0.13069396067286412, 0.1459841767187231, 0.1374710002205366, 0.1377791590989681, 0.14172279690050918, 0.14096104631484274, 0.13604487258049283, 0.1347663393014103, 0.13044857669024992, 0.12958834620922108, 0.14085743174615703, 0.13136783953463332, 0.13491628705757183, 0.1436176759564138, 0.14554649502248526, 0.12972821917744584, 0.134746845360215, 0.12832003941276365, 0.13933274537785462, 0.13825220312986156, 0.13843001325579446, 0.1350271061754323, 0.14448702087921086, 0.13704855380903466, 0.13183589749647187, 0.14470284522417656, 0.13754726714334273, 0.13223167228491567, 0.13796981074101347, 0.1348278190215637, 0.13848058042011774, 0.1333588143256214, 0.12937485777975866, 0.12552777787029012, 0.13426446010765633, 0.1394258678136539, 0.13462889207128242, 0.1333999246479575, 0.13646512265890628, 0.13327820189303724, 0.1341302251954346, 0.1351290624318734, 0.13077982054968118, 0.13178604249534748, 0.14203004276686115, 0.13685681957449752, 0.13310400065686837, 0.13241683168767995, 0.1338377764858183, 0.1321860955970989, 0.13880818661208533, 0.1287575190976482, 0.1326908568645081, 0.13481539880296714, 0.13226190830460488, 0.12585173046926776, 0.1351282105583137, 0.1325021328765152, 0.12938537791346108, 0.13679638552465387, 0.13777267561983578, 0.13682572841415283, 0.13415604613249185, 0.13599858606233933, 0.1315625672166008, 0.13503361838240335, 0.14514060684363578, 0.1352901579841895, 0.13391401700960884, 0.13922600127000942, 0.1332999045456678, 0.13578702755863847, 0.13832378650657673, 0.1356571369239853, 0.1352282316797498, 0.14380523331922163, 0.14354639640113623, 0.13573605219141918, 0.13281801487385492, 0.14365418123655319, 0.1311983859648384, 0.12841960661003368, 0.13727504537693475, 0.13486002594926835, 0.13399700293135494, 0.13254368258453952, 0.1358191989495107, 0.1377357256291098, 0.13006489532790305, 0.1348192088699794, 0.14434284989688143, 0.13618128081858685]"
