degree,mean,std,minimum,maximum
1,0.4452593483789482,0.044521568120650314,0.3499310672207892,0.6180339887498948
2,0.34480310637987993,0.026562990953638285,0.2980974985939182,0.4246011255904753
3,0.29076573330982114,0.017422856506887578,0.2507671206776137,0.3552952664911769
4,0.2590192580034351,0.01669317706766705,0.22136621657374148,0.30851007844957734
5,0.2350864661470442,0.01009151662899369,0.20543690505224024,0.2607062643055202
6,0.21921169939888305,0.011327492028133953,0.18727865835403795,0.251106002853381
7,0.20476026552764523,0.010425052612997513,0.1832239016374011,0.22920779651437778
8,0.19491495843639708,0.00950757272791534,0.168383198675931,0.22302029276245486
9,0.18585790899184954,0.007586515324560219,0.16833931204545619,0.2026751209425953
10,0.17933870061367124,0.006994533843934053,0.1632623316507677,0.19559427117071945
11,0.17233959651784667,0.00660144513668678,0.15598297310338677,0.18777454470131388
12,0.1666694269293461,0.007217675897587776,0.14945061018128858,0.18245552807820575
13,0.16314434045854584,0.006995049973854099,0.14289651746576484,0.17678251733117775
14,0.15800842349344957,0.005901105378822703,0.14203371653686006,0.16989664963069318
15,0.15430693019002317,0.005852407838383068,0.1415769045392315,0.1723803496361623
16,0.15138064357433853,0.0051642770545700985,0.1372928785528036,0.16060622055068027
17,0.1483549816352756,0.004467395648440872,0.1362282827671431,0.1590300320197692
18,0.14635736813371,0.005730419749186419,0.13056711503721632,0.16549361383361189
19,0.14199909139092448,0.005165327216177373,0.12892700722411973,0.15567738411549345
20,0.14105590791598505,0.005007996300129015,0.1271518394805704,0.15155059852222133
21,0.13959913203204086,0.005563738592613124,0.12631051547831934,0.1511045114027478
22,0.1379050901757019,0.004937377953168088,0.12480501724418758,0.14837602150157314
23,0.13729557664101072,0.005202711331530417,0.118459611368216,0.1517419578501432
24,0.13642383385893578,0.0044279152273102,0.1261559229973212,0.15033063543006359
25,0.13560582899365461,0.005034544344177544,0.1223310868584867,0.14752133228469944
26,0.13432210858548738,0.004950231974387574,0.12401198366541419,0.14488550756787874
27,0.13298099672269423,0.004899892464302526,0.12134701071337876,0.1452730522858492
28,0.13310563605053688,0.00521860964226548,0.12252213316347241,0.14636208368061995
29,0.13223330060933824,0.005075127584871397,0.12091380364295437,0.14392447820837762
30,0.13349666190201395,0.004500454779699813,0.1207380926074888,0.14483826975723868
31,0.13296982346038347,0.004980916066273093,0.11892983653416714,0.14552374226296144
32,0.13335654305681222,0.004395236689261396,0.12019930562226737,0.1452334643923899
33,0.13295021964606624,0.00448731478709327,0.11859960517223614,0.14300762744441864
34,0.13329692128206608,0.0049235890799956454,0.11954767367467543,0.1430904604740219
35,0.1340117001887641,0.0047396323174125786,0.12037539969677348,0.14223957351565372
36,0.13442701576179977,0.0043331872054255,0.11768413952576309,0.14386916739112768
37,0.13638968206344176,0.004436050190827387,0.12553121851163396,0.1462108469181316
38,0.13733216411156307,0.004663410274112232,0.1274564269202001,0.15101968621045322
39,0.13890280518429865,0.004057835396510827,0.12830055746527952,0.14588930053570281
40,0.14095811895181248,0.004436394963617056,0.13161192736936764,0.15226279340364826
41,0.14179165150302483,0.0057960657895762815,0.12373485726015584,0.15433166492332928
42,0.14423266790685027,0.0047652146361579165,0.1323826191920532,0.15320633356181418
43,0.14728180830311988,0.005477352221307661,0.13218421054844584,0.16094840913433336
44,0.1496618625705716,0.004823176837051939,0.13582306489599846,0.15876080723351504
45,0.1534333198992105,0.004731328735890135,0.14181856156829584,0.16580598182706136
46,0.15576771247287222,0.005618366015240157,0.14350145856170912,0.17057667871781548
47,0.16104688011508572,0.005424069099783295,0.14918823632676304,0.17592848339578648
48,0.16615005001434682,0.0061742851806864466,0.14564578799605707,0.17884169737012545
49,0.17237787988554124,0.006523457491060044,0.15318133468070633,0.188955688649851
50,0.17942898902152624,0.006539656911515075,0.16177252622969196,0.198105968991231
51,0.18952006206027078,0.007047435071887111,0.17495199789856347,0.2059555723754981
52,0.1979430316838614,0.007355327861378218,0.17878468154517707,0.21474090592250963
53,0.21370674816153712,0.01048917533276822,0.19547188289407552,0.2420763265382733
54,0.2352984110851638,0.011229935104084552,0.2081988540411093,0.26414999182901083
55,0.26386773190731133,0.013378721826714408,0.23440600994580663,0.31594149252824183
56,0.3173615314493066,0.017527869793857218,0.27727770069362057,0.36602540378443926
57,0.9999999999999751,2.220446049250313e-16,0.9999999999999754,0.9999999999999754
