degree,mean,std,minimum,maximum
1,0.5746019572784281,0.053545033968709056,0.4731202521232936,0.7071067811865475
2,0.46932524377842744,0.04332090024923957,0.3628453176668997,0.5717168644773765
3,0.4223090599008695,0.03324932840992563,0.34600484460313286,0.5000000000000002
4,0.386032935605748,0.028626053519868876,0.3253039631507065,0.4492435048715324
5,0.3552692762397106,0.028670843099817985,0.2890251245710179,0.4410280883410245
6,0.3385660556322377,0.024737385017751908,0.2836107390729534,0.3944009496971158
7,0.31391331174167675,0.02228805324400772,0.2512599297962125,0.37400701967568284
8,0.3025517828484757,0.01966837656784507,0.24895012704074665,0.33617084063895625
9,0.28968907321924975,0.019905706524786775,0.24180661671208872,0.33373440286053385
10,0.27671958151178594,0.02089648504728486,0.22482426564452196,0.3270466013976045
11,0.2667875893925715,0.019659621431256085,0.22127275304877203,0.32678901828781876
12,0.2609412340253766,0.016314008875076134,0.22507825324949515,0.3018346131579726
13,0.25233592716124714,0.018447697397102093,0.20971604066090058,0.295867850946131
14,0.24870481866465824,0.017530057932502105,0.20396886262921815,0.296716786677044
15,0.2367870223020116,0.016816888689301673,0.19242998778799897,0.2751369965414291
16,0.2317549893347281,0.016140042127411075,0.19573031099618204,0.26982440617065495
17,0.2282626243904307,0.01414691082704185,0.19849969094547076,0.26288788612331815
18,0.22477687505722915,0.014254940526678401,0.18453442658024724,0.2618217893513256
19,0.21995828592248404,0.01508868136802972,0.18049752381185316,0.25303680507723014
20,0.21662207443189146,0.014026012119622339,0.18791781272190694,0.2528049551951185
21,0.2145004581523543,0.016198137437476053,0.17443899973660013,0.2677028682725839
22,0.20608700012277853,0.013978811838973128,0.1746114046188675,0.23552819302413092
23,0.20863713333665002,0.01358918339691175,0.18144790059705554,0.24924890983521447
24,0.20435554311744736,0.012652336551365754,0.17797009259130486,0.24076952904660864
25,0.19839477453711005,0.013930699001215822,0.17006348269462165,0.23664483565829939
26,0.19716992781370377,0.012473319738348955,0.1691394688011743,0.23738104484810416
27,0.19485395735796954,0.01306549235547553,0.1657558249375115,0.2283149690316771
28,0.1923218622957865,0.011901745729220883,0.16634481229620227,0.2250792687334785
29,0.19142886497939962,0.013597665586634548,0.1609746087111205,0.23035017525169513
30,0.18874874197411007,0.013540701439910685,0.15230735739387916,0.21786846330734735
31,0.18462558675797036,0.012564493895222732,0.15282341294021973,0.2147476826947587
32,0.18428340004773983,0.010407590301716804,0.15733231241598034,0.20571478819505903
33,0.18401515715267663,0.012025695873644963,0.1533108905887836,0.21109589664370135
34,0.1827055151560615,0.01148442698376806,0.1602564825663484,0.21320095317384702
35,0.1805036714754867,0.012085830309394382,0.14530572942107317,0.21087087181616085
36,0.1794524481174639,0.010327800406591276,0.15409791792416275,0.20823423069162536
37,0.17585078950787789,0.012211631600735002,0.1484630633723077,0.20810966848413173
38,0.1766355795181221,0.011536229020458406,0.15012979389778094,0.2038660225233497
39,0.17323418301169055,0.010663070796009505,0.149057657841092,0.20319816340022623
40,0.17465406411406875,0.011537241892376007,0.14645812795787688,0.2033699334361536
41,0.17325401905238091,0.01257733584032419,0.13833193204329325,0.2069362882551176
42,0.17310805439043053,0.010780861891089365,0.14583191163572357,0.19572538282726507
43,0.17072452894619494,0.012193531438475678,0.1451088865803933,0.2000848932357304
44,0.1714142348708968,0.01070694966397416,0.14399473051634937,0.1977280563162101
45,0.16752573769752632,0.011489322386838915,0.14069213615805806,0.1956232840646671
46,0.16902421335778672,0.010761789381770175,0.13669606759350716,0.18832184735424404
47,0.16828723435906018,0.011768956223602325,0.14080533020049732,0.1940120295964717
48,0.1649460520739251,0.009654581178146363,0.14351464995362737,0.18575944178507728
49,0.16627449908774974,0.010702759011285508,0.13216999352217215,0.201482450716687
50,0.1656316710619874,0.009724252998282558,0.14376683156293452,0.18706058262115138
51,0.16639211807333956,0.009960871842044387,0.14593797068865397,0.19122954125956892
52,0.16458920111771247,0.009388515559960514,0.13106315012405925,0.1889703369185992
53,0.16415392998282993,0.009363141906118533,0.13981011053509307,0.18268028766111175
54,0.16363443708338266,0.009720962468797088,0.13993085324520915,0.18784870252813327
55,0.16417703746615114,0.00866194592259631,0.13927395272198573,0.18145839712426431
56,0.16173028921040114,0.00976354373653753,0.14149544744656725,0.1941036452136221
57,0.16313159468908225,0.008857725423932735,0.13736896314738797,0.1808634600660886
